IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_LABEL,TRIAL_INDEX,BIN_INDEX,BIN_START_TIME,BIN_END_TIME,RIGHT_IA_1_SAMPLE_COUNT,RIGHT_IA_2_SAMPLE_COUNT,RIGHT_IA_3_SAMPLE_COUNT,RIGHT_IA_4_SAMPLE_COUNT,RIGHT_IA_0_SAMPLE_COUNT,RIGHT_IA_1_SAMPLE_COUNT_%,RIGHT_IA_2_SAMPLE_COUNT_%,RIGHT_IA_3_SAMPLE_COUNT_%,RIGHT_IA_4_SAMPLE_COUNT_%,RIGHT_IA_0_SAMPLE_COUNT_%,TRIAL_START_TIME,RESPONSE,condition,item,list,phonemic_location,semantic_location,target_location,targetword,unrelated_location,timepoint_offset,timepoint_onset,target
1,Onset-to-mouseclick,308610_2,Trial: 4,4,0,0,48,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,1,50,98,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,2,100,148,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,3,150,198,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,4,200,248,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,5,250,298,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,6,300,348,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,7,350,398,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,8,400,448,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,9,450,498,0,0,0,0,25,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,10,500,548,0,0,0,0,16,0,0,0,0,1,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,11,550,598,14,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,12,600,648,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,13,650,698,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,14,700,748,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,15,750,798,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,16,800,848,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,17,850,898,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,18,900,948,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,19,950,998,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,20,1000,1048,21,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,21,1050,1098,4,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,22,1100,1148,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,23,1150,1198,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,24,1200,1248,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,25,1250,1298,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,26,1300,1348,21,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,27,1350,1398,15,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,28,1400,1448,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,29,1450,1498,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,30,1500,1548,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,31,1550,1598,10,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,32,1600,1648,22,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,33,1650,1698,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,34,1700,1748,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,35,1750,1798,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,36,1800,1848,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,37,1850,1898,25,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 4,4,38,1900,1933,17,0,0,0,0,1,0,0,0,0,1175861,target,practice,102,2,3,4,2,hardhat,1,0.96219,0.136648,hardhat_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 5,5,0,0,48,0,0,0,0,25,0,0,0,0,1,1181275,target,practice,105,2,2,3,1,snowboard,4,1.113107,0.155615,snowboard_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 5,5,1,50,98,0,0,0,0,25,0,0,0,0,1,1181275,target,practice,105,2,2,3,1,snowboard,4,1.113107,0.155615,snowboard_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 5,5,2,100,148,0,0,0,0,25,0,0,0,0,1,1181275,target,practice,105,2,2,3,1,snowboard,4,1.113107,0.155615,snowboard_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 5,5,3,150,198,0,0,0,0,3,0,0,0,0,1,1181275,target,practice,105,2,2,3,1,snowboard,4,1.113107,0.155615,snowboard_01.jpg
1,Onset-to-mouseclick,308610_2,Trial: 5,5,4,200,248,0,23,0,0,0,0,1,0,0,0,1181275,target,practice,105,2,2,3,1,snowboard,4,1.113107,0.155615,snowboard_01.jpg
