"","...1","participant","session","fixation_type","BIN_INDEX","sumFix","nTrials","meanFix","BIN_INDEX.Index","poly1","poly2","poly3","poly4"
"1",1,308602,1,"phonological",0,5,55,0.0909090909090909,1,-0.27533585296918,0.308724165015157,-0.282431051009487,0.395343051364708
"2",2,308602,1,"phonological",2,8,55,0.145454545454545,2,-0.261397892383706,0.260910176582205,-0.171242615887677,0.139745859236871
"3",3,308602,1,"phonological",20,3,55,0.0545454545454545,8,-0.135956247114444,-0.0452308869797893,0.204035603875583,-0.209585110880311
"4",4,308602,1,"phonological",21,2,55,0.0363636363636364,9,-0.128987266821707,-0.0556845243600198,0.200302285990359,-0.180897684504513
"5",5,308602,1,"phonological",22,1,55,0.0181818181818182,10,-0.12201828652897,-0.0654482460050581,0.194826094426699,-0.151448183967282
"6",6,308602,1,"phonological",23,2,55,0.0363636363636364,11,-0.115049306236234,-0.0745220519149044,0.187733736678187,-0.121709736457489
"7",7,308602,1,"phonological",24,2,55,0.0363636363636364,12,-0.108080325943497,-0.0829059420895585,0.179151920238406,-0.0921227164542352
"8",8,308602,1,"phonological",25,1,55,0.0181818181818182,13,-0.10111134565076,-0.0905999165290206,0.169207352600939,-0.0630947457268562
"9",9,308602,1,"phonological",26,0,55,0,14,-0.0941423653580233,-0.0976039752332906,0.158026741259369,-0.0350006933349173
"10",10,308602,1,"phonological",27,0,55,0,15,-0.0871733850652865,-0.103918118202369,0.14573679370728,-0.00818267562821627
"11",11,308602,1,"phonological",28,1,55,0.0181818181818182,16,-0.0802044047725497,-0.109542345436254,0.132464217438254,0.0170499437532176
"12",12,308602,1,"phonological",29,1,55,0.0181818181818182,17,-0.0732354244798129,-0.114476656934948,0.118335719945875,0.0404205538791238
"13",13,308602,1,"phonological",3,9,55,0.163636363636364,3,-0.254428912090969,0.238038055968517,-0.12193722615834,0.0364731122740197
"14",14,308602,1,"phonological",30,0,55,0,18,-0.0662664441870762,-0.11872105269845,0.103478008723725,0.0616852965290094
"15",15,308602,1,"phonological",31,0,55,0,19,-0.0592974638943394,-0.122275532726759,0.0880177912653895,0.0806330661921507
"16",16,308602,1,"phonological",32,0,55,0,20,-0.0523284836016026,-0.125140097019877,0.0720817750644498,0.0970855100675917
"17",17,308602,1,"phonological",33,0,55,0,21,-0.0453595033088658,-0.127314745577802,0.0557966676144896,0.110897028064144
"18",18,308602,1,"phonological",34,0,55,0,22,-0.038390523016129,-0.128799478400536,0.0392891764090921,0.121954772800391
"19",19,308602,1,"phonological",35,0,55,0,23,-0.0314215427233922,-0.129594295488077,0.0226860089418404,0.130178649604679
"20",20,308602,1,"phonological",36,1,55,0.0181818181818182,24,-0.0244525624306554,-0.129699196840426,0.00611387270631778,0.135521316515128
"21",21,308602,1,"phonological",37,1,55,0.0181818181818182,25,-0.0174835821379186,-0.129114182457583,-0.0103005248038926,0.137968184279622
"22",22,308602,1,"phonological",38,0,55,0,26,-0.0105146018451818,-0.127839252339548,-0.0264304760952076,0.137537416355817
"23",23,308602,1,"phonological",39,0,55,0,27,-0.00354562155244505,-0.125874406486321,-0.042149273674044,0.134279928911134
"24",24,308602,1,"phonological",4,8,55,0.145454545454545,4,-0.247459931798233,0.215855851090021,-0.0766554449919331,-0.0519205577573336
"25",25,308602,1,"phonological",40,1,55,0.0181818181818182,28,0.00342335874029174,-0.123219644897902,-0.0573302100468187,0.128279390822765
"26",26,308602,1,"phonological",41,1,55,0.0181818181818182,29,0.0103923390330285,-0.119874967574291,-0.0718465777199485,0.119652223677668
"27",27,308602,1,"phonological",42,1,55,0.0181818181818182,30,0.0173613193257653,-0.115840374515487,-0.08557166919985,0.108547601772573
"28",28,308602,1,"phonological",43,1,55,0.0181818181818182,31,0.0243302996185021,-0.111115865721492,-0.0983787769929403,0.0951474521139743
"29",29,308602,1,"phonological",44,1,55,0.0181818181818182,32,0.0312992799112389,-0.105701441192305,-0.110141193605636,0.0796664544181369
